Language	English	Français	italiano	Deutsche	español	日本	Português	عربى	한국어	Русский	中文(简)	中文(繁)	Polski	Dutch	Предреформенный русскій
no target!	No target!	Pas de cible !	Nessun Bersaglio!	Kein Ziel!	¡Sin objetivo!	ターゲットがいません!	Sem alvo!	لا هدف!	대상 없음!	Нет цели!	缺失目标!	缺失目標!	Brak celu!	Geen doel!	Нѣтъ цѣли!
Soul Captured!	Soul Captured!	Âme Capturée !	Anima Catturata!	Seele gefangen!	¡Alma capturada!	魂捕獲成功!	Alma capturada!	تم القبض على الروح!	영혼 사로잡힘!	Душа захвачена!	成功捕获灵魂!	成功捕獲靈魂!	Uchwycono duszę!	Soul gevangen!	Душа захвачена!
Capture Soul	Capture Soul	Capture d'Âme	Cattura Anima	Seele fangen	Capturar alma	魂を捕獲する	Capturar Alma	القبض على الروح	영혼 사로잡기	Захват Души	捕捉灵魂	捕捉靈魂	Schwytanie duszy	Leg de ziel vast	Захватъ Души
health potion description	Restores 🍞 health.Can only be picked up and used when you are at less than full health	Restaure 🍞 de santé. Ne peut être ramassée et utilisée que si vous êtes blessé(e)	Ristora 🍞 salute. Può essere raccolto e utilizzato solo quando la tua salute non è al massimo. 	Stellt 🍞 Lebenspunkte wieder her. WIrd nur aufgesammelt und benutzt wenn dem Spieler Lebenspunkte fehlen	Restaura 🍞 salud. Solo puede ser recogido y usado cuando tiene una salud menos que completa	体力を BD2023 回復する.体力がフルーの場合は無効になる	Restaura 🍞 saúde.	يستعيد 🍞 Health.Can لا يمكن التقاطه واستخدامه إلا عندما تكون في أقل من الصحة الكاملة	🍞 체력를 회복합니다. 체력이 꽉 차있지 않을 때만 주워 사용할 수 있습니다	Восстанавливает 🍞 здоровья. Можно взять и использовать только тогда, когда у вас неполное здоровье.	恢复 BD2023  生命.仅当生命值不满时才能拾取	恢復 BD2023  生命.僅當生命值不滿時才能拾取	Przywraca 🍞 zdrowia. Możesz ją podnieść tylko jeśli masz mniej niż połowę punktów życia.	Herstel 🍞 gezondheid. Kan alleen worden opgehaald en gebruikt als u zich op minder dan volledige gezondheid bevindt	Восстанавливаетъ 🍞 здоровья. Можно взять и употребить только тогда, когда у васъ неполное здоровье.
🍞 only modifies spells on its right	🍞 only modifies subsequent spells	🍞 ne modifie que les sorts qui suivront	🍞 modifica solo gli incantesimi alla sua destra	 🍞 modifiziert nur darauffolgende Zauber	🍞 Solo modifica los hechizos posteriores	 BD2023 はその後に追加された呪文のみ影響する	🍞 Somente modifica os feitiços subsequentes	🍞 يعدل فقط التعويذات اللاحقة	🍞는 후속하는 주문만 적용됩니다.	🍞 изменяет последующие заклинания	 BD2023  会影响后续的咒语	 BD2023  會影響後續的咒語	🍞 Modyfikuje tylko dalsze zaklęcia	🍞 Wijzigt alleen latere spreuken	🍞 измѣняетъ послѣдующія заклинания
explain end turn	Press 🍞 or click the End Turn button to restore your mana and stamina for the next turn. Note: You may still cast when you are out of stamina.	Appuyez sur 🍞 ou cliquez sur le bouton Fin de Tour pour restaurer votre santé et endurance pour le prochain tour. Note : vous pouvez lancer des sorts quand vous êtes à court d'endurance.	Premi 🍞 o fai clic sul pulsante di Fine Turno per rifornire la tua mana e la tua stamina. Nota: puoi continuare a lanciare incantesimi anche quando sei senza stamina.	Drücke 🍞 oder Klicke den "Zug beenden" Knopf damit Mana und Ausdauer aufgefüllt werden. Hinweis: Zaubern ist auch ohne Ausdauer noch möglich.	Presione 🍞 o haga clic en el botón Finalizar para restaurar su maná y resistencia para el siguiente turno. Nota: aún puede lanzar cuando está fuera de resistencia.	 BD2023 かターン終了を押すとターンが終了する,そしてマナとスタミナは全快になる. 注意:スタミナの有無は呪文の使用に影響なし	Pressione 🍞ou clique no botão de ENCERRAR TURNO para restaurar sua mana e estamina para o próximo turno. Nota: Você ainda pode lançar mágias mesmo sem estamina.	اضغط على 🍞 أو انقر فوق الزر النهائي للوصول لاستعادة مانا والقدرة على التحمل للدور التالي. ملاحظة: لا يزال بإمكانك أن تصدر عندما تكون خارج القدرة على التحمل.	🍞를 누르거나 턴 끝내기 버튼을 클릭하여 다음 턴을 위해 마나와 스태미나을 회복합니다. 참고: 스태미나가 떨어져도 여전히 주문을 시전할 수 있습니다.	Нажмите 🍞 или щелкните на кнопке "Конец хода", чтобы восстановить ману и выносливость.❕Примечание: Вы все еще можете совершать заклинания, если у вас закончилась выносливость.	按下 BD2023  或者点击结束回合以结束行动,同时重新回满魔力和耐力. 注:耐力有无不会影响咒语的使用	按下 BD2023  或者點擊結束回合以結束行動,同時重新回滿魔力和耐力.  注:耐力有無不會影響咒語的使用	Naciśnij 🍞 lub kliknij przycisk Zakończ Turę, aby przywrócić swoją manę i wytrzymałość w następnej turze. Uwaga: nadal możesz używać zaklęć, gdy zużyjesz całą wytrzymałość.	Druk op 🍞 of klik op de knop Turn Turn Turn om uw mana en uithoudingsvermogen te herstellen voor de volgende beurt. Opmerking: u kunt nog steeds casten als u geen uithoudingsvermogen meer hebt.	Нажмите 🍞 или нажмите на кнопкѣ "Конецъ хода", дабы восстановить эѳиръ и выносливость.❕Примечаніе: Вы все еще можете совершать заклинания, если у васъ закончилась выносливость.
explain overfill	You are able to fill your mana beyond its maximum amount using potions or spells.	Vous pouvez remplir votre mana au delà de son maximum en utilisant des potions ou des sorts	Puoi riempire la tua mana oltre il suo limite massimo utilizzando pozioni o incantesimi.	Mit Zaubern und Tränken kannst du deine Ausdauer über die maximale Kapazität füllen.	Puede llenar su maná más allá de su cantidad máxima usando pociones o hechizos.	ポーションや呪文を使用して,マナ量を現在マナ上限を超えて,過剰にすることができる	Você pode preencher sua mana além da quantidade máxima usando poções ou feitiços.	يمكنك ملء مانا إلى ما وراء الحد الأقصى لاستخدام الجرع أو التعويذات.	물약이나 주문을 사용하여 마나를 최대치까지 채울 수 있습니다.	Вы можете восполнять ману сверх ее максимального количества с помощью зелий или заклинаний.	你可以通过使用药水或者咒语使当前法力超过上限值	你可以通過使用藥水或者咒語使當前法力超過上限值	Możesz wypełnić swoją manę poza jej maksymalną ilością za pomocą mikstur lub zaklęć.	U kunt uw mana vullen buiten de maximale hoeveelheid met drankjes of spreuken.	Вы можете восполнять эѳиръ сверхъ ея максимальнаго количества съ помощью зелий или заклинаний.
Empty	Empty	Vide	Vuoto	Leer 	Vacío	空白	Vazio	فارغ	비어있음	Пустой	空的	空的	Pusty	Leeg	Пустой
glop description	The Glop lobs gloop high into the air to damage its enemies. Its attacks are not blocked by walls.❕It smells as bad as it looks.	Le Glop lance une boule visqueuse très haut dans les airs pour blesser ses ennemis. Ses attaques ne sont pas bloquées par les murs. Il sent aussi mauvais que ça en a l'air.	Il Glop lancia il gloop in alto per causare danni ai suoi nemici. Può attaccare i suoi nemici da dietro i muri.	Die Pampe wirft Schleim hoch in die Luft um ihren Gegnern Schaden zuzufügen. Pampe kann, anders als Bogenschützen, über Wände angreifen.	Los langos de GLOP giran en el aire para dañar a sus enemigos. Sus ataques no están bloqueados por las paredes. Huele tan mal como parece.	グロープの攻撃高く投げるタイプです,壁向こうにも届く	Os pegasojos Glop's se utilizam de sua gosma para atacar pelo ar causando assim dano em seus inimigos. Seus ataques não são bloqueados por paredes! E sim... Eles cheirão tão ruim quanto parece.	GLOP LOBS GLOUP عالية في الهواء لتلف أعدائها. لا يتم حظر هجماتها بواسطة Walls.uit تنبعث منها رائحة سيئة كما تبدو.	글롭은 적들에게 피해를 입히기 위해 찐득거리는 것을 공중으로 높이 던집니다. 이 공격은 벽에 의해 차단되지 않습니다. 보기만큼 지독한 냄새가 납니다.	Слизь подбрасывает большой камень высоко в воздух. Камень летит над стенами.❕Он пахнет так же плохо, как и выглядит.	粘稠怪会投掷粘浆攻击敌人,它可以攻击到墙后的单位	粘稠怪會投擲粘漿攻擊敵人,它可以攻擊到牆後的單位	Glop wyrzuca gloop wysoko w powietrze, aby zaatakować swoich wrogów. Jego ataki nie są blokowane przez ściany. ❕Pachnie tak źle, jak wygląda.	De GLOP Lobbs Gloop hoog in de lucht om zijn vijanden te beschadigen. De aanvallen worden niet door muren geblokkeerd. ❕ Het ruikt zo slecht als het lijkt.	Слизь подбрасываетъ большой камень высоко въ воздухъ. Камень летитъ надъ стѣнами.❕Онъ пахнетъ такъ же плохо, какъ и выглядитъ.
dead	Dead	Mort	Morto	Tot	Muerto	死亡	Morto	ميت	죽음	Мертвый	死亡	死亡	Martwy	Dood	Мертвый
explain attention markers	An icon will appear above the head of an archer when you are within their line of sight and attack range.  If you remain where you are, it will attack you next turn.	Un icône apparaîtra au-dessus de la tête d'un archer quand vous êtes dans sa ligne de vue et à sa portée. Si vous ne bougez pas, il vous attaquera au prochain tour.	Una icona apparirà sopra la testa di un arciere quando ti ha a vista, il che significa che nel prossimo turno ti attaccherà.	Ein Icon erscheint über Bogenschützen die in Reichweite sind und den Spieler sehen. Bogenschützen über denen dieses Icon angezeigt wird werden im nächsten Zug angreifen.	Aparecerá un ícono sobre la cabeza de un arquero cuando esté dentro de su línea de visión y rango de ataque. Si permaneces donde estás, te atacará el próximo turno.	アーチャーの頭にアイコンが示された場合は,あなたを敵ターンで攻撃できることです	Um ícone aparecerá acima da cabeça de um arqueiro caso você esteja ainda dentro de sua linha de visão e ataque. Se você permanecer aonde estiver ele irá lhe atacar no próximo turno.	سوف يظهر أيقونة فوق رأس Archer عندما تكون في خط البصر ومدى الهجوم. إذا بقيت في مكانك ، فسوف يهاجمك بدوره التالي.	궁수의 시야와 공격 범위 내에 있으면 궁수의 머리 위에 아이콘이 나타납니다. 그 자리에서 벗어나지 않으면 다음 턴에 공격할 것입니다.	Над головой лучника появляется значок, когда вы находитесь в пределах его прямой видимости и дальности атаки.  Если вы останетесь на месте, он атакует вас в следующий ход.	当弓箭手头上出现图标时,代表你在它的视野内,它将在敌方回合攻击你	當弓箭手頭上出現圖標時,代表你在它的視野內,它將在敵方回合攻擊你	Ikona pojawi się nad głową łucznika, gdy znajdziesz się w ich zasięgu wzroku i ataku. Jeśli pozostaniesz tam, gdzie jesteś, zaatakuje cię w następnej turze.	Een pictogram verschijnt boven het hoofd van een boogschutter wanneer u zich in hun gezichtslijn en aanvalsbereik bevindt. Als je blijft waar je bent, zal het je de volgende beurt aanvallen.	Надъ головой лучника появляется знакъ, когда вы находитесь въ предѣлахъ его прямаго видѣнія и дальности атаки. Если вы останетесь на мѣстѣ, онъ атакуетъ васъ въ слѣдующій ходъ.
explain scrolls	Move onto a Scroll Pickup to aquire new spells.	Déplacez-vous sur un parchemin pour acquérir de nouveaux sorts. 	Muovi su una pergamena per acquisire nuovi  incantesimi.	Bewege dich über Schriftrollen um neue Zauber zu erlernen. Schriftrollen und andere Gegenstände verschwinden nach einer gewissen Anzahl an Zügen. Versuch sie aufzusammeln bevor es zu spät ist.	Pase a una camioneta de desplazamiento para acumular nuevos hechizos.	スクロールピックアップすると新しい呪文が獲得できる.	Quando você cumpre os requisitos minímos você têm acesso a novos feitiços para aprender, conhecidos como pergaminhos! Escolha esse feitiço com sabedoria.	انتقل إلى سيارة بيك آب للتمرير لتناول نوبات جديدة.	주문서 픽업으로 이동하여 새 주문을 획득합니다. 주문서 픽업은 여러 턴이 지나면 사라지므로 너무 늦기 전에 줍도록 주의하십시오!	Откройте Выбор Свитка, чтобы получить новые заклинания.	移动到卷轴位置以拾取卷轴获得新的咒语.	移動到捲軸位置以拾取捲軸獲得新的咒語.	Wejdź na zwój aby otrzymać nowe zaklęcie.	Ga naar een scroll -pick -up om nieuwe spreuken te bezorgen.	Откройте Выборъ Свитка, дабы получить новыя заклинания.
explain death	You have died. If you have any allies in your faction they will continue to fight on your behalf.  If they defeat the enemy factions, you will continue to the next level.	Vous avez péri. Si vous avez des alliés ils continueront à se battre pour vous, et si ils terrassent tous vos ennemis, vous continuerez au niveau suivant.	Sei morto. Se hai alleati nella tua fazione, continueranno a combattere  per conto tuo; e se sconfiggono le fazioni nemiche, sarai risorto e proseguirai al prossimo livello.	Du bist gestorben. Falls du noch lebende Verbündete hast werden sie für dich weiterkämpfen. Besiegen sie alle Gegner, wirst du im nächsten Level wiederbelebt und kannst weiterspielen.	Te has muerto. Si tiene algún aliado en su facción, continuarán luchando en su nombre. Si derrotan a las facciones enemigas, continuarás al siguiente nivel.	あなたが死亡状態ですがもし味方がレベルクリアした場合,あなたは次のレベルで蘇ることになる	Você morreu, caso você esteja com algum aliado ainda vivo eles continuarão lutando em seu nome! Se eles derrotarem todos os inimigos você continuará na próxima fase.	لقد ماتت. إذا كان لديك أي حلفاء في الفصيل الخاص بك ، فسوف يستمرون في القتال نيابة عنك. إذا هزموا فصائل العدو ، فستستمر إلى المستوى التالي.	당신은 죽었습니다. 당신 세력에 동맹이 있다면 그들은 계속 싸울 것이고, 적 세력을 물리친다면 당신은 다음 레벨을 진행할 수 있을 것입니다.	Вы погибли. Если у вас есть союзники, они продолжат сражаться. Вы оживете, если союзники победят всех врагов.	如果你已经死亡,你的盟友会继续战斗.如果成功攻略本关卡,你将会在下一关重生.	如果你已經死亡,你的盟友會繼續戰鬥.如果成功攻略本關卡,你將會在下一關重生.	Umarłeś. Jeśli masz w swojej frakcji sojuszników, będą nadal walczyć w Twoim imieniu. Jeśli pokonają wroga, przejdziesz na następny poziom.	Je bent gestorven. Als je bondgenoten in je factie hebt, blijven ze namens u vechten. Als ze de vijandelijke facties verslaan, ga je verder naar het volgende niveau.	Вы погибли. Если у васъ есть союзники, они продолжатъ сражаться. Вы оживете, если союзники побѣдятъ всѣхъ враговъ.
explain portal	Takes you to the next level when all players are either in the portal or dead.	Vous amène au niveau suivant quand tous les joueurs sont dans le portail ou morts.	Ti porta al livello successivo quando tutti i giocatori sono morti o entrati nel portale.	Bringt dich zum nächsten Level wenn alle Spieler entweder das Portal betreten haben oder gestorben sind.	Te lleva al siguiente nivel cuando todos los jugadores están en el portal o muertos.	生き残った全プレイヤーがポータルに入ると次のレベルに転送されます	Leva você para o próximo nível quando todos os jogadores estiverem no portal ou mortos.	يأخذك إلى المستوى التالي عندما يكون جميع اللاعبين إما في البوابة أو الميت.	모든 플레이어가 포탈에 있거나 사망했을 때 다음 레벨로 이동합니다.	Перемещает на следующий уровень, когда все игроки либо находятся в портале, либо мертвы.	当所有存活玩家都进入时,将传送至下一个关卡	當所有存活玩家都進入時,將傳送至下一個關卡	Przenosi Cię na następny poziom, gdy wszyscy gracze są w portalu lub martwi.	Brengt je naar het volgende niveau wanneer alle spelers in de portal of dood zijn.	Перемѣщаетъ на слѣдующую ступень, когда всѣ игроки либо находятся въ вратѣ, либо мертвы.
skip tutorial detail	Are you sure you want to skip the tutorial? (You can reset the tutorial in the menu)	Êtes-vous sûr(e) de vouloir passer le tutoriel ? (Vous pouvez réinitialiser le tutoriel dans le menu)	Sei sicuro di voler saltare il tutorial? (Puoi ripristinare il tutorial dal menu)	Bist du sicher dass du das Tutorial überspringen willst? (Du kannst das Tutorial im Menu wieder aktivieren)	¿Estás seguro de que quieres omitir el tutorial? (Puede restablecer el tutorial en el menú)	チュートリアルをスキップしますか?(メニューでリセット可能)	Tem certeza de que deseja pular o tutorial? (Você pode redefinir o tutorial no menu)	هل أنت متأكد أنك تريد تخطي البرنامج التعليمي؟ (يمكنك إعادة تعيين البرنامج التعليمي في القائمة)	정말로 튜토리얼을 건너뛰시겠습니까? (언제든지 메뉴에서 튜토리얼을 초기화할 수 있습니다.)	Вы уверены, что хотите пропустить обучение? (Вы всегда можете его возобновить в главном меню)	您确定要跳过教程吗?(可以在菜单重置)	您確定要跳過教程嗎?(可以在菜單重置)	Czy na pewno chcesz pominąć samouczek? (Możesz zresetować samouczek w menu)	Weet je zeker dat je de tutorial wilt overslaan? (U kunt de tutorial opnieuw instellen in het menu)	Вы увѣрены, что желаете пропустить учение? (Вы всегда можете его возобновить въ главномъ изборѣ)
shielded from damage	Shielded from damage	Protégé contre les dégâts	Protetto dal danno	Vor Schaden geschützt	Protegido del daño	ダメージを防ぐ	Protegido de danos	محمي من الضرر	피해로부터 방어함	Защищен от повреждений	成功阻挡伤害	成功阻擋傷害	Osłonięty przed obrażeniami	Afgeschermd van schade	Защищенъ отъ поврежденій
No Targets close enough to shove	No Targets close enough to shove	Pas de cible proche à repousser	Nessun bersaglio abbastanza vicino per spingere	Ziel nicht nahe genug um es zu Stoßen	No hay objetivos lo suficientemente cerca como para empujar	弾かれる範囲にターゲットがいない	Sem alvos próximos o suficiente para empurrar	لا توجد أهداف قريبة بما يكفي للدفع	밀치기 충분한 거리에 대상이 없음	Нет целей для щелбана	没有足够接近的单位可以推开	沒有足夠接近的單位可以推開	Nic nie jest wystarczająco blisko, aby popchnąć	Geen doelen dichtbij genoeg om te duwen	Нѣтъ цѣлей для щелбана
Mana Refunded	Mana Refunded	Mana remboursé	Mana rimborsato	Mana Zurückerstattet	Maná reembolsado	マナリファンド	Mana rembolsada	مانا استرداد	마나 돌려받음	Мана Возвращается	法力退回	法力退回	Mana zwrócona	Mana is terugbetaald	эѳиръ Возвращается
🍞 poison damage	🍞 poison damage	🍞 dégâts de poison	🍞 danni da velono	 🍞 Giftschaden	🍞 Daño de veneno	 BD2023 毒ダメージ	🍞 Dano de veneno	🍞 تلف السم	🍞 독 피해	🍞 урон ядом	 BD2023  中毒伤害	 BD2023  中毒傷害	🍞 obrażeń od trucizny	🍞 Gifschade	🍞 уронъ ядомъ
out of bounds	out of bounds	hors des limites	fuori dai limiti	außerhalb des Spielfeldes	fuera de los límites	範囲外	fora dos limites	خارج الحدود	경계를 벗어남	за границами	超出范围	超出範圍	poza granicami	buiten de grenzen	За границами
explain blessings	Cast blessings on yourself or your allies to help them survive.	Bénissez vos allier ou vous-même pour survivre plus facilement.	Lancia le benedizioni su te stesso o sui tuoi alleati per aiutarli a sopravvivere.	Zaubere Segen auf dich und deine Verbündeten um ihnen das Überleben zu vereinfachen	Llega bendiciones sobre ti mismo o tus aliados para ayudarlos a sobrevivir.	生き残った味方に祝福をする	Ligue as bênçãos a si mesmo ou a seus aliados para ajudá-los a sobreviver restaurando suas saúdes, purificando suas maldições entre outros buffs benéficos.	قم بإلقاء النعم على نفسك أو حلفائك لمساعدتهم على البقاء.	자기자신이나 동맹들이 생존할 수 있도록 축복을 내립니다.	Наложите благословение на себя или своих союзников, чтобы помочь им выжить.	对自己的存活盟友施加祝福以帮助他们生存	對自己的存活盟友施加祝福以幫助他們生存	Rzuć błogosławieństwa na siebie lub swoich sojuszników, aby pomóc im przeżyć.	Weg zegeningen op jezelf of je bondgenoten om hen te helpen te overleven.	Наложите благословеніе на себя или своихъ союзниковъ, дабы помочь имъ выжить.
mana potion description	Restores 🍞 mana.  May overfill mana.	Restaure 🍞 mana. Pourrait surcharger le mana.	Ristora 🍞 mana. Può superare il livello massimo di mana.	Stellt 🍞 Mana wieder her. Kann das Mana Maximum überschreiten 	Restaura 🍞 maná. Puede sobrecargar el maná.	 BD2023 のマナを回復する,上限超をえる場合がある	Restaura 🍞 mana, podem preencher mais que sua quantia máxima de mana.	يستعيد 🍞 مانا. قد تفرط في ملء مانا.	🍞 마나를 회복합니다.  마나가 넘쳐흐를 수도 있습니다.	Восстанавливает 🍞 маны. Может восстановить сверх предела.	恢复 BD2023  魔力,有可能产生溢出	恢復 BD2023  魔力,有可能產生溢出	Przywraca 🍞 many. Może przepełnić manę.	Herstelt 🍞 mana. Kan mana overvullen.	Восстанавливаетъ 🍞 эѳира. Можетъ восстановить сверхъ предѣла.
explain attention markers melee	An icon appears above the head of a melee attacker if you are close enough for it to get to you. If you stay in its range, it will attack you on its next turn!	Un icône apparaît au-dessus d'un attaquant en mêlée si vous êtes assez près pour qu'il vous atteigne. Si vous restez à sa portée, il vous attaquera quand viendra son tour !	Un'icona apparirà sopra la testa di un nemico se sei cosi vicino da parmettirgli di attacarti in corpo a corpo durante il prossimo turno.	Ein Icon erscheint über Nahkampfgegnern die nahe genug sind um den Spieler im nächsten Zug zu erreichen. Wenn du in Reichweite bleibst, wird es dich angreifen!	Un ícono aparece sobre la cabeza de un atacante cuerpo a cuerpo si estás lo suficientemente cerca como para que te llegue. Si te quedas en su rango, ¡te atacará en su próximo turno!	接近攻撃する敵の頭にアイコンが示された場合は,あなたを敵ターンで攻撃できることです	Um ícone de aviso ficará acima da cabeça de um inimigo corpo-a-corpo caso você esteja perto o suficiente do mesmo, se você permanecer em seu alcance, ele lhe atacará no próximo turno!	يظهر أيقونة فوق رأس مهاجم المشاجرة إذا كنت قريبًا بما يكفي للوصول إليك. إذا بقيت في مداها ، فسوف تهاجمك بدوره التالي!	근접 공격자의 머리 위에는 아이콘이 표시됩니다. 만약 그 범위 안에 머무른다면 다음 차례에 공격할 것입니다!	Над головой атакующего в ближнем бою появляется значок, если вы находитесь достаточно близко, чтобы он мог до вас добраться. Если вы останетесь в зоне его действия, он атакует вас в свой следующий ход!	当近战敌方单位头上出现图标时,代表你在攻击范围内,它会在敌方回合时攻击你	當近戰敵方單位頭上出現圖標時,代表你在攻擊範圍內,它會在敵方回合時攻擊你	Ikona pojawia się nad głową atakującego w zwarciu, jeśli jesteś wystarczająco blisko, aby się do ciebie dotarł. Jeśli pozostaniesz w zasięgu, zaatakuje cię w następnej turze!	Een pictogram verschijnt boven het hoofd van een melee -aanvaller als je dichtbij genoeg bent om je te bereiken. Als je in zijn bereik blijft, zal het je aanvallen bij de volgende beurt!	Надъ головой атакующаго въ ближнемъ бою появляется знакъ, если вы находитесь достаточно близко, дабы онъ могъ до васъ добраться. Если вы останетесь въ области его дѣйствія, онъ атакуетъ васъ въ свой слѣдующій ходъ!
explain scroll dissapear	<h1>A Scroll has disappeared!</h1>Remember: Scrolls disappear after a number of turns have passed. It is very important to pick them up before it is too late so you can get new spells.	<h1>Un Parchemin a disparu !</h1>Rappel : les Parchemins disparaissent après un certain nombre de tours. C'est très important de les ramasser avant qu'il soit trop tard afin que vous obteniez de nouveau sorts.	<h1> Una pergamena è scomparsa! </h1> Ricorda: le pergamene scompaiono dopo un certo numero di turni. È molto importante  raccoglierle prima che sia troppo tardi in modo da ottenere nuovi incantesimi.	<h1>Eine Schriftrolle ist verschwunden!</h1> Nicht vergessen: Schriftrollen verschwinden nach einer gewissen Anzahl an Zügen. Es ist sehr wichtig sie vorher aufzuheben um neue Zauber zu erlernen.	<h1> Un pergamino ha desaparecido! </h1> Recuerde: los pergaminos desaparecen después de que han pasado varios turnos. Es muy importante recogerlos antes de que sea demasiado tarde para que pueda obtener nuevos hechizos.	<h1>スクロールは消えました!<h1>注意:スクロールは数ターン後消失するので早めにピックアップしましょう	<H1> Um pergaminho desapareceu! É muito importante você  procurar por ele e buscá-lo antes que seja tarde demais. Você precisa conseguir novos feitiços!	<h1> اختفى التمرير! </h1> تذكر: تختفي التمرير بعد مرور عدد من المنعطفات. من المهم جدًا التقاطها قبل فوات الأوان حتى تتمكن من الحصول على تعويذات جديدة.	<h1>주문서가 사라졌습니다!</h1> 기억하십시오: 주문서는 몇 턴이이 지나면 사라집니다. 너무 늦기 전에 새로운 주문을 받도록 주문서를 줍는 것이 매우 중요합니다.	<h1> Свиток исчез! Подбирайте их вовремя. Свитки исчезают после нескольких ходов.	<h1>卷轴已消失.<h1>注:卷轴会在数回合后消失,切记要在消失前拾取以获得新的咒语	<h1>捲軸已消失.<h1>注:捲軸會在數回合後消失,切記要在消失前拾取以獲得新的咒語	<h1> Zniknął zwój! </h1> Pamiętaj: Zwoje znikają po upływie paru tur. Bardzo ważne jest, aby je zebrać zanim będzie za późno, abyś mógł uzyskać nowe zaklęcia.	<H1> Een scroll is verdwenen! </h1> onthoud: Scrolls verdwijnen nadat een aantal beurten zijn verstreken. Het is heel belangrijk om ze op te halen voordat het te laat is, zodat je nieuwe spreuken kunt krijgen.	<h1>Свитокъ исчезъ!<h1> Подбирайте ихъ воврѣмя. Свитки исчезаютъ послѣ нѣсколькихъ ходовъ.
explain remove spells	Click on a spell to remove it or press 🍞 to remove the last queued spell.	Cliquez sur un sort pour le supprimer ou appuyez sur 🍞 pour supprimer le dernier sort ajouté à la file.	Fai clic su un incantesimo per rimuoverlo o premi 🍞 per rimuovere l'ultimo incantesimo.	Klicke auf einen Zauber um ihn zu entfernen oder drücke 🍞 um den letzten Zauber zu entfernen.	Haga clic en un hechizo para eliminarlo o presione 🍞 para eliminar el último hechizo en cola.	呪文をクリックすると取り消しができる,あるいは BD2023 キーで一番最後に入れた呪文を取り消す	Clique no feitiço desejado em sua fila para removê-lo ou pressione 🍞 para remover o último feitiço de sua fila.	انقر على تعويذة لإزالتها أو الضغط على 🍞 لإزالة آخر تعويذة في قائمة الانتظار.	주문을 클릭하여 제거하거나 🍞을/를 눌러 마지막으로 대기 중인 주문을 제거합니다.	Нажмите на заклинание, чтобы убрать его или нажмите 🍞, чтобы удалить последнее заклинание в очереди.	点击咒语以移除,或按下 BD2023  来移除最后添加的咒语	點擊咒語以移除,或按下 BD2023  來移除最後添加的咒語	Kliknij zaklęcie, aby je usunąć lub naciśnij 🍞, aby usunąć ostatnie zaklęcie w kolejce.	Klik op een spreuk om deze te verwijderen of druk op 🍞 om de laatste in de wachtrij geplaatste spreuk te verwijderen.	Нажмите на заклинание, дабы убрать его или нажмите 🍞, дабы удалить послѣднее заклинание въ очереди.
explain ping	In multiplayer games, you can ping specific locations to help with communication by holding down 🍞 and moving your mouse.	En multijoueur, vous pouvez ping un emplacement pour vous aider à communiquer en maintenant 🍞 et en bougeant la souris.	Nelle partite multiplayer, puoi segnalare posizioni specifiche per aiutare la comunicazione tenendo premuto 🍞 e muovendo il mouse.	In Mehrspielerspielen kannst du Orte markieren indem du 🍞 drückst und die Maus bewegst.	En los juegos multijugador, puedes hacer ping ubicaciones específicas para ayudar con la comunicación manteniendo presionada 🍞 y moviendo el mouse.	マルチプレイでは, BD2023 を押したままにマウスを移動して遅延を確認できる	Nos jogos multiplayer, você pode ping em locais específicos para ajudar na comunicação mantendo pressionando 🍞 e movendo o mouse.	في الألعاب متعددة اللاعبين ، يمكنك ping مواقع محددة للمساعدة في التواصل من خلال التمسك بـ 🍞 ونقل الماوس.	멀티플레이어 게임에서는 소통에 도움을 주기 위해🍞을/를 누른 채 마우스를 움직여 특정 위치에 핑을 찍을 수 있습니다.	Вы можете указать место клавишей 🍞.	在多人游戏中,你可以按下 BD2023  然后移动鼠标来确认特定地点的延迟以帮助沟通	在多人遊戲中,你可以按下 BD2023  然後移動鼠標來確認特定地點的延遲以幫助溝通	W grach wieloosobowych możesz oznaczać miejsca, aby pomóc w komunikacji. Przytrzymaj🍞 i poruszaj myszą!	In multiplayer -games kunt u specifieke locaties pingen om te helpen met communicatie door 🍞 te houden en uw muis te verplaatsen.	Вы можете указать мѣсто клавишею 🍞.
